"project_acronym","project","main_researcher","institution","details_project","budget_project","date_start_project","date_end_project"
"MULT2D","Multiscale Mechanics of Bone Fragility in Type-2 Diabetes","Ted VAUGHAN","NATIONAL UNIVERSITY OF IRELAND GALWAY","Type-2 (T2) Diabetes is associated with a 3-fold increase in bone fracture risk, despite the fact that bone volume is not reduced. This implies that T2 diabetes impairs bone quality, whereby the intrinsic material properties of the bone matrix are altered. However, current diagnostic techniques are unable to predict fracture probability in T2 diabetes as they are based on measures of bone quantity. While it is believed that non-enzymatic cross-linking of organic proteins (also known as AGE accumulation) in the bone matrix is responsible for bone fragility in T2 diabetes, there is a distinct lack of understanding how altered protein configurations impair whole-bone biomechanics. In this project, the applicant will embark on frontier research that will develop a state-of-the-art multiscale computational framework that couples behaviour from the molecular to whole-bone level, providing a basis to interrogate and elucidate the physical mechanisms that are responsible for diabetic bone fragility. A multiscale experimental framework will, for the first time, establish relationships between AGE crosslink-density and whole-bone fragility in animal and human T2 diabetic bone tissue. Together, this data will inform a probabilistic mutli-level model of hip fracture, which will be used to quantitatively evaluate the relationship between hip fracture probability, bone quantity and bone quality. The research programme will also establish a novel strategy for clinical fracture risk assessment that employs existing protocols to measure bone quantity, in combination with a surrogate measure of bone quality. The surrogate measure of bone quality proposed is a systemic measure of AGE content, which is clinically-obtainable through a blood sample and therefore widely-applicable. Overall, the project will provide a ground-breaking advance in our understanding of bone fragility, with remarkable potential to innovate novel solutions for clinical assessment of T2 diabetic bone disease.","1499659","2019-02-01","2024-01-31"
"MultiBD-CHALLENGE","The Pursuit of Group 13-Group 15 (E13≡E15) Triple Bonds. Their Reactivity and Applications for Materials","Diego Andrada","UNIVERSITAT DES SAARLANDES","Multiple bonds have an enourmous impact on our lives as they are extremely useful functionalities in important industrial chemical transformations and products. The new millennium has witnessed considerable progress in the chemistry of main group compounds with multiple bonds. In case of elements other than carbon, the utilization of bulky ligands, with the appropriate steric and electronic effects, is a crucial factor in the stabilization of such species. Nevertheless, heteronuclear compounds containing triple bonds between the heavier elements of Group 13 and Group 15 are so far unknown. This proposal will address this knowledge gap by the use of donor-acceptor interactions to stabilize such compounds. The hypothesis rests not only in the stabilization provided by the Lewis base species but also on the electronic features enforced by them. This proposal will utilize the tools of experimental and computational chemistry in tandem, as an efficient and predictive strategy to gain synthetic access to the hitherto unknown triple bonds. These structures will present a multifunctional character, by having two pi-bonds, a lone pair on the Group 15 element, and Lewis base donors. Thus, given the unique bonding situation, they are expected to serve as innovative reagents for the activation of organic small molecules, as well as excellent metal-free catalysts and versatile coordination ligands toward transition metals. Furthermore, the heteroatomic triple bond motif is expected to provide unprecedented precursors for growing high-quality III-V semiconductor films. Therefore, the specific aims of this project are: (i) to comprehensively design the syntheses of these unique compounds; (ii) to develop and exploit their reactivity and; (iii) to harvest their potential in materials science. Achieving these aims will have a tremendous impact on various areas of academic and industrial interest ranging from catalysis and energy storage materials to photovoltaic devices.","1500000","2019-02-01","2024-01-31"
"MULTIBIOPHOT","Multiphoton processes using plasmonics   towards advanced nanobiophotonics","Janina Kneipp","HUMBOLDT-UNIVERSITAET ZU BERLIN","Proposal summary
Biophotonics is an emerging interdisciplinary field. Modern laser spectroscopic methods in combination with
microscopy open up exciting new ways to study biological objects. For biological applications, multi-photon
or non-linear spectroscopy can offer several advantages over one-photon excitation. The aim of this project
is to explore novel spectroscopic strategies based on multi-photon excitation. In order to overcome lowsignal
problems related to multi-photon spectroscopy, we will exploit plasmonics and perform multi-photon
spectroscopy in the enhanced local optical fields of gold- and silver nanostructures. I propose a combination
of three different plasmonics-enhanced two-photon spectroscopic methods for multimodal two-photon
sensing and imaging. This combination can provide information on morphological structures and function of
biological systems along with chemical information about molecular composition, structure, and interactions.
A key aspect of this new concept will be the implementation of spectroscopically multifunctional
nanosensors with plasmonic nanoparticles as basic building blocks. Following multi-photon excitation, these
sensors deliver information on their environment inferred from a set of multiple surface-enhanced
spectroscopic signatures.
The proposed research will generate fundamental knowledge about multi-photon driven processes in
enhanced local optical fields and about multi-photon interaction of light and biological matter. This might
open up entirely new directions to advance nanobiophotonics. In particular, the outcome of the research will
stimulate the new field of two-photon sensing and imaging, which has the capability to advance our
understanding of biological systems and processes. The project is expected to have broad impact and
contribute to the development of multi-photon optical sensing and multi-photon excited photophysics and
photochemistry with applications in physics, chemistry, energy technology, biotechnology and medicine.","1394679","2011-01-01","2015-12-31"
"MULTICELL","Microfluidic multiplexed cell chips","Charles Baroud","CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS","There exist very few techniques for studying a group of cells containing
a large number compared to a single cell but small compared to a whole
tissue. This implies that statistics are exceedingly difficult to obtain
from measurements of individual cells. Microfluidics provides a way to
amend this by allowing ways to observe individual cells and automate
such measurements. The aim in this project is to develop a cell
manipulation platforms based on microfluidics techniques developed in
our lab, while answering relevant biological questions.

The first question concerns Sickle Cell Anemia, a genetic disease for
which no treatment exists. We will study the polymerization of
hemoglobin within red blood cells, as they are submitted to cycles of
oxygenation and deoxygenation. Quantitative measurements of the response
of the cells to oxygen variations will allow physiological conditions to
be simulated, including in the presence of therapeutic candidates or
other biological agents.

The second question concerns the motility of adherent cells in a
three-dimensional environment. This question will be to understand the
migration of cells in a 3D gradient of chemo-attractant, as well as
gradients of rigidity of the environment. This part will require the
development of new technological tools which can later be applied to a
wide range of biological problems. The long term aim is to replace the
current tools of biological labs with miniaturized and integrated lab on
a chip devices.","1494744","2012-02-01","2017-01-31"
"MULTIJEDI","Multilingual Joint Word Sense Disambiguation","Roberto Navigli","UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA","In the information society the language barrier represents one of the main obstacles to the automatic use, integration and manipulation of knowledge, and this is manifested in the lack of intelligent systems able to perform unified semantic processing of textual resources in a multitude of different languages. To create such systems, a necessary step is to assign the appropriate meanings to the words in documents, a task referred to as Word Sense Disambiguation (WSD). But while WSD is typically performed in a monolingual setting, in order to enable multilingual processing, the semantic connections between word senses (i.e. meanings) in different languages need to be exploited. However, current state-of-the-art systems mainly rely on the existence of bilingual aligned text collections or limited-coverage multilingual resources to perform cross-lingual disambiguation, an unrealistic requirement when working with an arbitrary number of language pairs.
Here we propose a research program that will investigate radically new directions for performing multilingual WSD. The key intuition underlying our proposal is that WSD can be performed globally to exploit at the same time knowledge available in many languages. The first stage will involve the development of a methodology for automatically creating a large-scale, multilingual knowledge base. In a second stage, using this lexical resource, novel graph-based algorithms for jointly performing disambiguation across different languages will be designed and experimented. Crucially, we aim to show that these two tasks are mutually beneficial for going beyond current state-of-the-art WSD systems. The proposed project will have an impact not only on WSD research, but also on related areas such as Information Retrieval and Machine Translation.","1288400","2011-02-01","2016-01-31"
"MULTIMATE","A Research Platform Addressing Outstanding Research Challenges for Nanoscale Design and Engineering of Multifunctional Material","Johanna Rosen","LINKOPINGS UNIVERSITET","""Nanoscale engineering is a fascinating research field spawning extraordinary materials which revolutionize microelectronics, medicine,energy production, etc. Still, there is a need for new materials and synthesis methods to offer unprecedented properties for use in future applications.

In this research project, I will conduct fundamental science investigations focused towards the development of novel materials with tailor-made properties, achieved by precise control of the materials structure and compostition. The objectives are to: 1) Perform novel synthesis of graphene. 2) Explore nanoscale engineering of """"graphene-based"""" materials, based on more than one atomic element. 3) Tailor uniquely combined metallic/ceramic/magnetic materials properties in so called MAX phases. 4) Provide proof of concept for thin film architectures in advanced applications that require specific mechanical, tribological, electronic, and magnetic properties.

This initative involves advanced materials design by a new and unique synthesis method based on cathodic arc. Research breakthroughs are envisioned: Functionalized graphene-based and fullerene-like compounds are expected to have a major impact on tribology and electronic applications. The MAX phases are expected to be a new candidate for applications within low friction contacts, electronics, as well as spintronics. In particular, single crystal devices are predicted through tuning of tunnel magnetoresistance (TMR) and anisotropic conductivity (from insulating to n-and p-type).

I can lead this innovative and interdisciplinary project, with a unique background combining relevant research areas: arc process development, plasma processing, materials synthesis and engineering, characterization, along with theory and modelling.""","1484700","2010-09-01","2015-08-31"
"MultiMT","Multi-modal Context Modelling for Machine Translation","Lucia Specia","IMPERIAL COLLEGE OF SCIENCE TECHNOLOGY AND MEDICINE","Automatically translating human language has been a long sought-after goal in the field of Natural Language Processing (NLP). Machine Translation (MT) can significantly lower communication barriers, with enormous potential for positive social and economic impact. The dominant paradigm is Statistical Machine Translation (SMT), which learns to translate from human-translated examples.

Human translators have access to a number of contextual cues beyond the actual segment to translate when performing translation, for example images associated with the text and related documents. SMT systems, however, completely disregard any form of non-textual context and make little or no reference to wider surrounding textual content. This results in translations that miss relevant information or convey incorrect meaning. Such issues drastically affect reading comprehension and may make translations useless. This is especially critical for user-generated content such as social media posts -- which are often short and contain non-standard language -- but applies to a wide range of text types. 

The novel and ambitious idea in this proposal is to devise methods and algorithms to exploit global multi-modal information for context modelling in SMT. This will require a significantly disruptive approach with new ways to acquire multilingual multi-modal representations, and new machine learning and inference algorithms that can process rich context models. The focus will be on three context types: global textual content from the document and related texts, visual cues from images and metadata including topic, date, author, source. As test beds, two challenging user-generated datasets will be used: Twitter posts and product reviews.

This highly interdisciplinary research proposal draws expertise from NLP, Computer Vision and Machine Learning and claims that appropriate modelling of multi-modal context is key to achieve a new breakthrough in SMT, regardless of language pair and text type.","1493771","2016-07-01","2021-06-30"
"MULTISCALE","Precision Multi-Scale Predictions for the LHC: Higgs, Jets and Supersymmetry","Wouter - Jonathan Waalewijn","UNIVERSITEIT VAN AMSTERDAM","My project will boost the precision of theoretical predictions for collisions at the Large Hadron Collider. Precise predictions are crucial to further constrain the properties of the recently-discovered Higgs boson, and uncover a faint signal of Beyond-the-Standard Model physics. I will focus on the strong interactions, which dominate the theoretical uncertainty and play a role at multiple energy scales, including those related to the incoming protons, the hard scattering, the masses of (new) particles, the transverse momentum and size of jets.

The critical progress of this proposal lies in taking this intrinsically multi-scale nature into account, moving beyond the current trade-off between precision and realism in the three dominant calculational paradigms. Fixed-order calculations are systematically improvable but assume that there is no hierarchy between perturbative scales. Monte Carlo event generators provide a fully exclusive description of the final state, but are currently limited to leading-logarithmic order and lack theoretical uncertainties. Resummed calculations can reach a higher logarithmic accuracy, but have been restricted to single observables. 

In a recent breakthrough, I constructed a new effective field theory that simultaneously achieves higher logarithmic accuracy in two independent observables, by factorizing the physics at the corresponding scales. Moving beyond this prototypical study, I will develop the general effective field theory framework that accounts for the relevant scales in realistic measurements, which overcomes the limitations of all three paradigms. This research will be carried out in the context of several important LHC applications: precision Higgs measurements, jet substructure techniques for identifying boosted heavy particles and  supersymmetry searches. My new field-theoretic insights and more precise predictions will be critical as the LHC starts Run 2, searching for new physics at even higher energies.","1500000","2016-09-01","2021-08-31"
"MULTISCALECHEMBIO","Electronic Structure of Chemical, Biochemical, and Biophysical Systems: Multiscale Approach with Electron Correlation","Leonardo Guidoni","UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA","The currently available computational methods have often serious limitations to treat systems where electron correlation plays and important role. Many issues concerning the electronic structure of radicals, photoreceptors near-half-filled transition metals (Cr,Mo,Fe,Ni) are of paramount relevance in basic and applied research in Chemistry and Biochemistry, but still out of the capabilities of standard and conventional tools such as Density Functional Theory. On the other hand, post Hartree-Fock methods computationally more expensive and their application is limited to few atoms. The objective of the present proposal is to overcome these limitations and to develop and apply a multiscale, innovative and unconventional computer simulation technique to unravel the electronic properties of strongly correlated chemical and biochemical systems. The methodology is based on a combined approach between Quantum Monte Carlo (QMC), DFT and Molecular Mechanics. The proposed approach has a faster scaling of the calculation time with the system size N with respect others standard quantum chemistry methods of equivalent level (~ N4 vs ~ N7). es to address challenging open problems in the chemistry and biochemistry of radical compounds, photoreceptors, and transition metal catalysis and enzymatic activity. Application to photoreceptors include the study of the spectral properties of rhodopsin, the integral membrane protein responsible of the light detection in the retina. Applications on transition metal molecules will shed the light on the catalytic strategies of iron-based enzymes and their corresponding biomimetic compounds.","1200000","2009-10-01","2015-09-30"
"MUSE","Multi-perspective Ultrasound Strain Imaging & Elastography","Richard LOPATA","TECHNISCHE UNIVERSITEIT EINDHOVEN","Ultrasound (US) is the modality of choice for imaging and functional measurements of the cardiovascular system due to its high spatial and temporal resolution. In recent years, the use of US has been on the rise owing to huge advancements in acquisition speed and resolution. Nevertheless, because of physical constraints, several issues —limited field-of-view, refraction, resolution and, contrast anisotropy— cannot be resolved using a single probe. 
This proposal will aim at tackling these issues introducing Multi-perspective Ultrasound Strain Imaging & Elastography (MUSE). MUSE will push the frontiers of 3-D US imaging by introducing a novel, multi-perspective 3-D US system. The revolutionary system will consist of two synchronously controlled 3-D matrix arrays and advanced signal and image processing to improve geometric and functional measurements (strain, elasticity). Validation will be performed for two applications: cardiac strain imaging in patients with aortic valve stenosis (AoS) and elastography of abdominal aortic aneurysms (AAA).
Fusion of dual-probe data will be challenged and achieved by new algorithms, preserving important features and improving both contrast and field-of-view. Advanced 3-D processing of the raw US data will be developed for motion and strain imaging. A novel compounding technique, fusion strain imaging, will combine multi-perspective strain data to improve accuracy and precision. A comprehensive framework for system verification and validation will be built, comprising US simulations, ex vivo experiments, and in vivo pilot studies on healthy volunteers. The proposed technique will be validated in AoS and AAA patients. 
Ultimately, MUSE will introduce a non-invasive, ground-breaking US platform for functional screening and follow-up, and a breakthrough in early diagnosis, clinical decision making, and risk assessment of cardiovascular disease. Moreover, MUSE has the potential to replace invasive or costly imaging modalities with US.","1998505","2018-02-01","2023-01-31"
"MuSES","Muon Spectroscopy of Excited States","Alan John Drew","QUEEN MARY UNIVERSITY OF LONDON","Muon spin spectroscopy has shown itself to be a very powerful probe of material properties, with Europe leading this research due to it operating half of the available muon sources in the world, but to date there has been very little work done on spectroscopy of excited states. In the first instance, this proposal will design and build an upgrade to an existing spectrometer (HiFi at ISIS) that will comprise a high-power tunable laser to provide the electronic excitation. This will be followed by a study of the physics of excited state muon spectroscopy, an entirely unexplored area of the technique. The fundamental mechanisms of charge carrier transport in organic semiconductors will then be investigated, and the ground-work for directly measuring the recombination zone in organic LEDs will be done. Perhaps most importantly, the fundamental physics of electron transfer in peptides will be performed - which is responsible for many biological processes and not well understood. The muon technique has recently been shown by the applicant to offer both spatial and temporal information on the electron’s progress through the molecule - this is the only technique that can measure the electron’s wavefunction at different locations on the molecule as a function of time after the excitation is formed.","1476891","2012-12-01","2017-11-30"
"MUSIC","Modeling and Simulation of Cancer Growth","Hector Gómez Díaz","UNIVERSIDADE DA CORUNA","Nowadays, the treatment of cancer is based on the so-called diagnostic paradigm. We feel that the shift from the traditional diagnostic paradigm to a predictive patient-specific one may lead to more effective therapies. Thus, the objective of this project is to introduce predictive models for cancer growth. These predictive models will take the form of mathematical models developed from first principles and the fundamental features of cancer biology. For these models to be useful in clinical practice, we will need to introduce new numerical algorithms that permit to obtain fast and accurate simulations based on patient-specific data.

We propose to develop mathematical models using the framework provided by the mixtures theory and the phase-field method. Our model will account for the growth of the tumor and the vasculature that develops around it, which is essential for the tumor to grow beyond a harmless limited size. We propose to develop new algorithms based on Isogeometric Analysis, which is a recent generalization of Finite Elements with several advantages. The use of Isogeometric Analysis will simplify the interface between medical images and the computational mesh, permitting to generate smooth basis functions necessary to approximate higher-order partial differential equations like those that govern cancer growth. Our modeling and simulation tools will be examined and validated by experimental and clinical observations. To accomplish this, we propose to use anonymized patient-specific data through several patient imaging modalities.

Arguably, the successful undertaking of this project, would have the potential to transform classical population/statistics-based treatments of cancer into patient-specific therapies. This would elevate mathematical modeling and simulation of cancer growth to a stage in which it can be used as a quantitatively accurate predictive tool with implications for clinical practice, clinical trial design, and outcome prediction.","1405420","2012-10-01","2017-09-30"
"MUSICA","Multi-platform remote sensing of isotopologues for investigating the cycle of atmospheric water","Matthias Schneider","KARLSRUHER INSTITUT FUER TECHNOLOGIE","MUSICA aims to understand the atmospheric water cycle and its interplay with climate change applying unique long-term high quality and global remote sensing observations of tropospheric stable water vapour isotopologues. It is well established that water in its various forms plays a dominant role in nearly all aspects of the Earth s climate system. Understanding the full cycle of evaporation, cloud formation, and precipitation is of highest scientific priority for predicting climate change.
The ratio of the isotopologues (e.g. HD16O/H216O) is affected by evaporation, condensation, and cloud processes, and offers a unique opportunity for investigating how water moves through the troposphere. Incorporating isotopologues in atmospheric general circulation models (AGCM) and comparing the isotopologue simulations to observations has the potential to test the models  ability of reproducing the global atmospheric water cycle and its interplay with climate change. So far this research field has not been explored due to the lack of consistent, long-term, high-quality, and area-wide observational data. MUSICA will for the first time combine long-term ground- and space-based remote sensing measurements in a consistent manner, and will generate novel tropospheric HD16O/H216O data, taking benefit from both the high and well documented quality of the ground-based observations and the wide geographical coverage of the space-based observations. This unique observational data set will allow a new dimension of water cycle research.
MUSICA will collaborate with the Stable Water Isotope Intercomparison Group (SWING) in order to improve current state-of-the-art water isotope AGCMs. MUSICA will investigate and improve the understanding of tropospheric water vapour sources and transport pathways, and empirically assess how well climate feedbacks are captured by current climate models and thereby it will constrain a major uncertainty of climate projections.","1500000","2011-02-01","2016-07-31"
"MUSTANG","Magnonics Using Spin Torque, spin caloritronics, And Nanoplasmonic engineerinG","Johan Åkerman","GOETEBORGS UNIVERSITET","My overall aim is to develop a Magnonic technology platform where Spintronic, Spin-Caloritronic and Nano-plasmonic devices and structures combine to create ground-breaking functionality from novel interactions between charge, spin, heat and light. With traditional Magnonic studies typically geared towards the low GHz range, and nanoplasmonic phenomena primarily focusing on visible light, my proposed platform will also attempt to bridge the so-called “THz gap” and create ultra-broadband and rapidly tuneable spin wave (SW) based signal generators, manipulators, detectors, and even spectrometers, in the 10–200 GHz frequency range. I will reach this goal by transferring my documented nano-contact spin torque oscillator (NC-STO) expertise into the magnonics world of both metal and insulator based SW propagation, add recently discovered spin hall (SHE) and inverse spin hall effect (ISHE) SW manipulation/detection, and combine it with my recently acquired know-how in nanoplasmonics.

My specific aims are:

1. SW generation and manipulation using metal and YIG based NC-STOs

2. SW-light/heat interaction using nanoplasmonic structures and Spin-Caloritronics

3. ISHE/SHE detection and control of propagating SWs in metals and YIG","1500000","2013-01-01","2017-12-31"
"MUSTANG","Multi-scale Star Formation Across Nascent Galaxies","Diederik KRUIJSSEN","RUPRECHT-KARLS-UNIVERSITAET HEIDELBERG","One of the fundamental questions in modern astrophysics is how gas is converted into stars during galaxy formation, and how this may have changed with galactic environment and cosmic time. It is widely accepted that the unknown physics of star formation (SF) in molecular clouds and feedback from massive stars represent the main uncertainties in our understanding of galaxy formation. The key open questions are: which physical mechanisms govern the time-evolution of gas towards SF and its subsequent expulsion by feedback? How do these physics change with environment or cosmic time? How did the most extreme stellar systems in the Universe (i.e. globular clusters) form at high redshift? How do the cloud-scale physics of SF and feedback connect cold dark matter cosmology to the observable galaxy population? It is now possible to answer these questions thanks to two crucial developments. (1) The latest generation of billion-euro observatories allow the necessary observational data to be taken. (2) The techniques needed to solve the problem have been developed, tested, and validated, through major theoretical efforts that I have led. These developments position me ideally to answer the above questions with a unique combination of world-leading observational data, fundamental theory, innovative analysis techniques, and state-of-the-art simulations. I will use these to formulate a multi-scale description of SF and feedback, focussing on the cloud-scale physics and advancing the field beyond the phenomenology of galactic scaling relations. I will introduce an empirically-motivated, physical model for cloud-scale SF and feedback in galaxy formation simulations, thereby overcoming their main limitation and making the crucial step of linking the observable galaxy population to cold dark matter cosmology. This ambitious programme bridges observations, theory, and simulations, and can only be realised with the human resources provided by an ERC Starting Grant.","1499629","2017-04-01","2022-03-31"
"MUSYX","Multiscale Simulation of Crystal Defects","Christoph Ortner","THE UNIVERSITY OF WARWICK","""The MUSYX project will develop a rigorous numerical analysis framework for assessing the accuracy of multiscale methods for simulating the dynamics of crystalline defects. The core focus of the research will be the analysis of approximation errors of atomistic-to-continuum (a/c) coupling methods and related multiscale schemes. The rigorous mathematical foundations, which will be the outcome of this work, will also lead to the construction of more robust and more efficient numerical algorithms.

The research will be undertaken within four distinct but closely related themes: Theme A: quasistatic evolutions up to and including bifurcation points (defect nucleation and evolution); Theme B: Transition paths, saddles, and transition rates between local minima (defect nucleation and diffusion at finite temperature); Theme C: Computation of defect formation energies within the framework of equilibrium statistical mechanics; Theme D: Fully dynamic problems. The four themes are connected through the focus on crystal defects and model interfaces (e.g., atomistic/continuum).

Themes A and B build on and significantly extend the theory of a/c coupling pioneered by the PI, which combines classical techniques of numerical analysis (consistency, stability) with modern concepts of multiscale and atomistic modeling. Theme C aims to develop an analogous theory for multiscale free energy calculations (precisely, defect formation energies). Theme D approaches the analysis of a fully dynamic multiscale scheme by analyzing its qualitative statistical properties.""","1111793","2014-01-01","2018-12-31"
"MYCAP","DEVELOPMENT OF A TECHNOLOGY TO PRODUCE MICROCAPSULES, based on the formation of drops from viscous non-Newtonian liquids sprayed through fan-jet nozzles, TO USE IN CANCER THERAPY","Eva Maria Martin Del Valle","UNIVERSIDAD DE SALAMANCA","The main aim of this project is the development of a new technology to produce smart drug delivery
system for chemotherapeutic agents per recognition event. For that affinity-microparticles (10-20 microns
diameter) loaded of paclitaxel (PTX) or Endotastin will be produced.
Microcapsules will be made using a new technology based on the formation of drops from viscous non-
Newtonian liquids sprayed through fan-jet nozzles. This process is based on generation of kinetic energy to a
liquid jet resulting on controlled spray generation. The technique will be modelled in order to ensure the scale-up
the process.
The microparticles, based on alginate polymer, will be functionalised on his surface by affinity ligand, epidermal
growth factor (EGF) which will be able to recognize a specific protein of the tumoral cell, (EGFR) epidermal
growth factor receptor.
Surface plasma resonance will be carried to control the interaction between the microparticle and the protein and
therefore to ensure the efficiency of the microparticles produced. This information will be used to developed a
dynamic model to assess the importance of spatial phenomena and then we will evaluate the accuracy of partial
differential equations (PDEs) in transient when spatial effects are important.
Control release from microcapsules loaded of anticancer agent will be characterized by control release kinetics,
mass transfer, mechanic stability and permeability studies. Mass transfer through the tissue, or therapeutic
leakage from storage cavities and their consequent transport through the organ, are among the several physical
processes, where knowledge of the unsteady transport of a scalar quantity (mass of an active) is of importance
for cell therapy. For that reasons it is necessary to derive an analytical solution for the unsteady mass transport
problem in a porous medium under torsional flow to simulate the diffusion of active materials in body cavities
(Mixed mechanic-electrical model), assuming body cavities as ideally isotropic porous medium.
Finally, characterized microcapsules will be tested in lung tissues with lung cancer. Cell viability (MTT) and
apoptosis after PTX exposure in non small cell lung cancer (NSCLC) will be studied. Morphological distribution
of particles in areas of interest (lung, pleura and lymph nodes) will be examined. The experimental results found
in vitro will compared with experimental animal models developed for tumoral cell death.","1367229","2011-02-01","2016-01-31"
"MYKI","A Bidirectional MyoKinetic Implanted Interface for Natural Control of Artificial Limbs","Christian Cipriani","SCUOLA SUPERIORE DI STUDI UNIVERSITARI E DI PERFEZIONAMENTO S ANNA","MYKI aims at developing and clinically evaluating a dexterous hand prosthesis with tactile sensing which is naturally controlled and perceived by the amputee. This will be possible by overcoming the conventional approaches based on recording electrical signals from the peripheral nervous system (nerves or skeletal muscles) through the development of a radically new Human-Machine Interface (HMI) based on magnetic field principles, both able to decode voluntary motor commands and to convey sensory feedback to the individual. Core of this system is a multitude of magnets implanted in independent muscles and external magnetic readers/drivers (MRDs) able to (i) continuously localize the movements of the magnets and, at specific times, (ii) induce subtle movements in specific magnets. In fact, as a magnet is implanted it will travel with the muscle it is located in, and its localization will provide a direct measure of the contraction/elongation of that muscle, which is voluntarily controlled by the central nervous system. In this way it will be possible to decode the efferent signals sent by the brain by observing a by-product of the muscle fibres recruitment. On the other hand, a movement induced in the implanted magnet by the external MRD, could provide a perceivable stimulus, conveyed to the brain by means of the peripheral sensory receptors present in the muscle (e.g. muscle spindles or Golgi tendon organ) or in the neighbouring skin (tactile mechanoreceptors). In this way we aim to provide tactile and/or proprioceptive sensory information to the brain, thus restoring the physiological sensorimotor control loop. Remarkably, with passive magnetic tags (that do not require to be powered-on) and wearable readers/drivers, it will be possible to implement a wireless, bidirectional HMI with dramatically enhanced capabilities with respect to the state of the art interfaces, as illustrated in this proposal.","1475269","2016-09-01","2021-08-31"
"N-BNP","New directions in Bayesian Nonparametrics","Igor Pruenster","UNIVERSITA COMMERCIALE LUIGI BOCCONI","The popularity of Bayesian nonparametric (BNP) inference is rapidly growing within both the academic community and practitioners. Indeed the BNP viewpoint naturally allows for rich and flexible probabilistic modeling and, via conditional (or posterior) distributions, for accurate function estimation, most notably of probability distributions, regression functions and hazard rates. After de Finetti’s theoretical foundation of the BNP paradigm in the ‘30s, the first methodological breakthroughs in the ‘70s, and major theoretical and computational progress in the following 40 years, further significant developments of BNP are nowadays needed for providing successful answers to the practical challenges of the XXI century emerging from diverse applied fields.
Therefore, the main objective of the present research project is to introduce and investigate novel methodologies and procedures for BNP inference. The advances will include the development of new types of covariate-dependent random discrete distributions in contexts of partial exchangeability, the derivation of general classes of nonparametric estimators suitable for several prediction problems, the construction of various types of dynamic particle systems and associated diffusion approximations, the frequentist asymptotic validation of the most up-to-date Bayesian procedures. The theoretical investigation will be complemented by the implementation of the obtained results in a variety of applied contexts, among which nonparametric regression, meta-analysis, competing risks, macroeconomic dynamics, population processes with spatial immigration and time-varying mutation rate, credit markets with heterogeneous agents, biodiversity assessment and prediction in Ecology and Genomics. The modern probabilistic techniques needed to address challenging inferential issues explain the interplay between theory and applications which is a major headline of this project and represents one of the distinctive features of BNP.","957939","2012-10-01","2018-09-30"
"NAC","Nuclear Atomic Clock","Thorsten Schumm","TECHNISCHE UNIVERSITAET WIEN","""Atoms, as building blocks of nature, consist of an atomic nucleus and the electron shell. Both systems are governed by similar laws and forces. However, the required energies to create changes in the nucleus or the electron shell differ by many orders of magnitudes. This reflects in largely different tools and methods used for their investigation: atomic physics probes the electron shell mainly by means of lasers. Nuclear physicists create excitations at high energies using particle accelerators such as CERN.
The radio isotope 229Thorium is the only atom with the potential to bridge the gap between atomic and nuclear physics. It provides an unnaturally low-energy nuclear excited state, accessible to atomic physics tools, most notably laser excitation. It is the aim of the proposed research project to identify the  optical nuclear transition  and make it usable for fundamental investigations and applications.
Currently, our  second  is defined as 9.192.631.770 oscillations of a light wave that leads to a specific excitation in the electron shell of the Cesium atom. Using the nuclear excited state of 229Thorium instead would increase the time standard accuracy by many orders of magnitudes, at the same time reducing the experimental complexity considerably. Building such a  nuclear clock  is the main goal of the research proposal. This will directly lead to improved accuracy in satellite based navigation (GPS) and enhanced bandwidth in communication networks. Furthermore, vomparing a  nuclear atomic clock  to standard time standards will hence allow addressing one of the most fundamental questions in physics: """"are nature s constants really constant?"""".""","1245884","2010-12-01","2015-11-30"
